"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"G8X",2,3,20,3,12,43,1,0,3,1,4,7,3,25,3,22,16,3,18,28,4,5,21,16,0,2,7,3,6,6,0,2,31,17,0,7,5,59,25,18,10,3,2,3,13,26,3,1,4,5,8,45,11,0,35,4,5,11,1,1,8,11,3,5,10,23,3,20,4,1,0,7,3,17,1,25,3,1,36,1,4,17,3,3,16,0,0,0,30,2,2,7,0,3,4,4,0,2,0,0,2,20,3,1,7,3,10,49,2,3,2,8,6,24,16,1,1,12,0,10,23,2,9,1,9,1,7,3,12,39,21,10,2,14,4,10
"GAN",4,1,18,1,10,41,3,2,1,3,2,5,1,23,5,20,14,1,16,26,2,3,19,14,2,4,5,5,4,4,2,0,29,15,2,5,3,57,23,16,8,1,0,1,11,24,1,1,2,3,6,43,9,2,33,2,3,9,3,3,6,9,1,3,8,21,1,18,2,3,2,5,1,15,3,23,1,1,34,3,2,15,1,1,14,2,2,2,28,0,0,5,2,5,2,2,2,0,2,2,4,18,1,3,5,5,8,47,4,5,0,6,4,22,14,1,1,10,2,8,21,4,7,1,7,1,5,5,10,37,19,8,4,12,2,8
"GHR",33,28,11,28,19,12,32,31,28,32,27,24,28,6,34,9,15,28,13,3,27,26,10,15,31,33,24,34,25,25,31,29,0,14,31,24,26,28,6,13,21,28,29,28,18,5,28,30,27,26,23,14,20,31,4,27,26,20,32,32,23,20,28,26,21,8,28,11,27,32,31,24,28,14,32,6,28,30,5,32,27,14,28,28,15,31,31,31,1,29,29,24,31,34,27,27,31,29,31,31,33,11,28,32,24,34,21,18,33,34,29,23,25,7,15,30,30,19,31,21,8,33,22,30,22,30,24,34,19,8,10,21,33,17,27,21
"GJ3",19,14,3,14,5,26,18,17,14,18,13,10,14,8,20,5,1,14,1,11,13,12,4,1,17,19,10,20,11,11,17,15,14,0,17,10,12,42,8,1,7,14,15,14,4,9,14,16,13,12,9,28,6,17,18,13,12,6,18,18,9,6,14,12,7,6,14,3,13,18,17,10,14,0,18,8,14,16,19,18,13,0,14,14,1,17,17,17,13,15,15,10,17,20,13,13,17,15,17,17,19,3,14,18,10,20,7,32,19,20,15,9,11,7,1,16,16,5,17,7,6,19,8,16,8,16,10,20,5,22,4,7,19,3,13,7
"GPM",2,3,20,3,12,43,1,0,3,1,4,7,3,25,3,22,16,3,18,28,4,5,21,16,0,2,7,3,6,6,0,2,31,17,0,7,5,59,25,18,10,3,2,3,13,26,3,1,4,5,8,45,11,0,35,4,5,11,1,1,8,11,3,5,10,23,3,20,4,1,0,7,3,17,1,25,3,1,36,1,4,17,3,3,16,0,0,0,30,2,2,7,0,3,4,4,0,2,0,0,2,20,3,1,7,3,10,49,2,3,2,8,6,24,16,1,1,12,0,10,23,2,9,1,9,1,7,3,12,39,21,10,2,14,4,10
"GVM",9,4,13,4,5,36,8,7,4,8,3,0,4,18,10,15,9,4,11,21,3,2,14,9,7,9,0,10,1,1,7,5,24,10,7,0,2,52,18,11,3,4,5,4,6,19,4,6,3,2,1,38,4,7,28,3,2,4,8,8,1,4,4,2,3,16,4,13,3,8,7,0,4,10,8,18,4,6,29,8,3,10,4,4,9,7,7,7,23,5,5,0,7,10,3,3,7,5,7,7,9,13,4,8,0,10,3,42,9,10,5,1,1,17,9,6,6,5,7,3,16,9,2,6,2,6,0,10,5,32,14,3,9,7,3,3
"GWF",7,2,15,2,7,38,6,5,2,6,1,2,2,20,8,17,11,2,13,23,1,0,16,11,5,7,2,8,1,1,5,3,26,12,5,2,0,54,20,13,5,2,3,2,8,21,2,4,1,0,3,40,6,5,30,1,0,6,6,6,3,6,2,0,5,18,2,15,1,6,5,2,2,12,6,20,2,4,31,6,1,12,2,2,11,5,5,5,25,3,3,2,5,8,1,1,5,3,5,5,7,15,2,6,2,8,5,44,7,8,3,3,1,19,11,4,4,7,5,5,18,7,4,4,4,4,2,8,7,34,16,5,7,9,1,5
"GWU",61,56,39,56,47,16,60,59,56,60,55,52,56,34,62,37,43,56,41,31,55,54,38,43,59,61,52,62,53,53,59,57,28,42,59,52,54,0,34,41,49,56,57,56,46,33,56,58,55,54,51,14,48,59,24,55,54,48,60,60,51,48,56,54,49,36,56,39,55,60,59,52,56,42,60,34,56,58,23,60,55,42,56,56,43,59,59,59,29,57,57,52,59,62,55,55,59,57,59,59,61,39,56,60,52,62,49,10,61,62,57,51,53,35,43,58,58,47,59,49,36,61,50,58,50,58,52,62,47,20,38,49,61,45,55,49
"GWW",27,22,5,22,13,18,26,25,22,26,21,18,22,0,28,3,9,22,7,3,21,20,4,9,25,27,18,28,19,19,25,23,6,8,25,18,20,34,0,7,15,22,23,22,12,1,22,24,21,20,17,20,14,25,10,21,20,14,26,26,17,14,22,20,15,2,22,5,21,26,25,18,22,8,26,0,22,24,11,26,21,8,22,22,9,25,25,25,5,23,23,18,25,28,21,21,25,23,25,25,27,5,22,26,18,28,15,24,27,28,23,17,19,1,9,24,24,13,25,15,2,27,16,24,16,24,18,28,13,14,4,15,27,11,21,15
"H6C",20,15,2,15,6,25,19,18,15,19,14,11,15,7,21,4,2,15,0,10,14,13,3,2,18,20,11,21,12,12,18,16,13,1,18,11,13,41,7,0,8,15,16,15,5,8,15,17,14,13,10,27,7,18,17,14,13,7,19,19,10,7,15,13,8,5,15,2,14,19,18,11,15,1,19,7,15,17,18,19,14,1,15,15,2,18,18,18,12,16,16,11,18,21,14,14,18,16,18,18,20,2,15,19,11,21,8,31,20,21,16,10,12,6,2,17,17,6,18,8,5,20,9,17,9,17,11,21,6,21,3,8,20,4,14,8
"HGG",12,7,10,7,2,33,11,10,7,11,6,3,7,15,13,12,6,7,8,18,6,5,11,6,10,12,3,13,4,4,10,8,21,7,10,3,5,49,15,8,0,7,8,7,3,16,7,9,6,5,2,35,1,10,25,6,5,1,11,11,2,1,7,5,0,13,7,10,6,11,10,3,7,7,11,15,7,9,26,11,6,7,7,7,6,10,10,10,20,8,8,3,10,13,6,6,10,8,10,10,12,10,7,11,3,13,0,39,12,13,8,2,4,14,6,9,9,2,10,0,13,12,1,9,1,9,3,13,2,29,11,0,12,4,6,0
"HJX",5,0,17,0,9,40,4,3,0,4,1,4,0,22,6,19,13,0,15,25,1,2,18,13,3,5,4,6,3,3,3,1,28,14,3,4,2,56,22,15,7,0,1,0,10,23,0,2,1,2,5,42,8,3,32,1,2,8,4,4,5,8,0,2,7,20,0,17,1,4,3,4,0,14,4,22,0,2,33,4,1,14,0,0,13,3,3,3,27,1,1,4,3,6,1,1,3,1,3,3,5,17,0,4,4,6,7,46,5,6,1,5,3,21,13,2,2,9,3,7,20,5,6,2,6,2,4,6,9,36,18,7,5,11,1,7
